fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Celta Vigo vs Villarreal,Celta Vigo,Celta Vigo,Villarreal,1,1,1-1,2,4,10,4,6,4,11,1,0,0.65,1,0,2,738,653,0.88,0.68,0
Celta Vigo vs Villarreal,Villarreal,Celta Vigo,Villarreal,1,1,1-1,3,4,8,1,5,3,8,5,0,0.35,1,0,2,390,318,0.82,1.15,0
Real Betis vs Athletic Club,Real Betis,Real Betis,Athletic Club,1,2,1-2,2,4,9,3,6,3,9,4,3,0.5,1,0,5,454,373,0.82,0.62,0
Real Betis vs Athletic Club,Athletic Club,Real Betis,Athletic Club,1,2,1-2,6,5,15,4,9,6,16,10,2,0.5,4,1,1,440,376,0.85,1.11,0
Espanyol vs Osasuna,Espanyol,Espanyol,Osasuna,1,0,1-0,4,5,10,1,7,3,13,2,2,0.45,2,0,3,408,320,0.78,1.21,0
Espanyol vs Osasuna,Osasuna,Espanyol,Osasuna,1,0,1-0,3,5,10,2,6,4,14,3,1,0.55,3,0,3,493,404,0.82,1.37,0
Rayo Vallecano vs Barcelona,Rayo Vallecano,Rayo Vallecano,Barcelona,1,1,1-1,6,3,12,3,9,3,16,9,7,0.43,4,0,2,338,252,0.75,1.85,0
Rayo Vallecano vs Barcelona,Barcelona,Rayo Vallecano,Barcelona,1,1,1-1,3,6,12,3,8,4,8,4,2,0.57,1,0,5,444,364,0.82,1.83,0
Sevilla vs Elche,Sevilla,Sevilla,Elche,2,2,2-2,3,2,7,2,4,3,23,2,1,0.53,4,0,0,392,339,0.86,0.4,0
Sevilla vs Elche,Elche,Sevilla,Elche,2,2,2-2,2,3,5,0,2,3,19,2,0,0.47,3,0,1,362,296,0.82,0.95,0
Getafe vs Oviedo,Getafe,Getafe,Oviedo,2,0,2-0,3,4,10,3,6,4,12,4,1,0.48,2,0,1,342,268,0.78,0.75,0
